id,label,timeset,v_name,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n155,ロゴ,,ロゴ,2,11.0,7.0,0.25880971025841815,0.27347813558100964,0.0,0.003979116,0.003979116,27,6.041323833570781E-4,0,1.0,1,0.010070982157180582
n156,ワークス,,ワークス,2,25.0,7.0,0.26891781936533765,0.28122973849146327,0.0025640726798055965,0.0027885777,0.0027885777,8,8.868429406024506E-4,0,0.0,0,0.0070914002941006625
n157,一,,一,3,16.0,7.0,0.2570984052897705,0.2706181110870968,2.7917894246066744E-4,0.0018630244,0.0018630244,4,0.0011261235491532432,0,0.0,0,0.006049915340621456
n158,一因,,一因,1,13.0,6.0,0.3140142517814727,0.3363086232980347,0.0,0.015857507,0.015857507,18,3.8695665293504396E-4,0,0.0,0,0.03852988292689431
n159,一定,,一定,1,5.0,7.0,0.27280231118448206,0.28604567394279967,0.0,0.0039045804,0.0039045804,30,4.061288321240411E-4,0,0.0,0,0.009271989317812826
n160,一次,,一次,2,13.0,7.0,0.2732534105002067,0.2909120380376053,1.09438723666285E-4,0.0062389043,0.0062389043,20,6.55628575895058E-4,0,0.0,0,0.01598196654263712
n161,一致,,一致,3,20.0,6.0,0.27761444771104576,0.2933434190620275,0.0013642035225572982,0.006924762,0.006924762,27,8.771458842588231E-4,0,0.0,0,0.016832927380698703
n162,一般,,一般,4,94.0,6.0,0.3386270491803279,0.3639183055975813,1.654556746811945E-4,0.025118006,0.025118006,30,0.0011091531759300551,0,0.6666666666666666,4,0.06277587457251611
n163,一部,,一部,1,15.0,6.0,0.33033483258370816,0.3524710035300067,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n164,万,,万,1,7.0,6.0,0.33033483258370816,0.3524710035300067,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n165,三,,三,1,5.0,7.0,0.22919556171983357,0.23807362581946478,0.0,4.395286E-4,4.395286E-4,4,5.603237916838276E-4,0,0.0,0,0.001642853733769027
n166,上,,上,16,157.0,6.0,0.3567188343227199,0.3902420574886554,0.013520270061676316,0.057145506,0.057145506,20,0.003869023191113228,0,0.09166666666666666,11,0.13927719111602127
n167,上位,,上位,4,35.0,6.0,0.3173307729236678,0.3420322743318219,9.063687425125125E-4,0.020547776,0.020547776,13,0.0010660143112533602,0,0.5,3,0.0506718558104695
