id,label,timeset,v_name,modularity_class,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,pageranks,componentnumber,clustering,triangles,eigencentrality
n252,医療法,,医療法,5,2,10.0,7.0,0.22832167832167832,0.23835047035659518,0.002605103125324639,4.6442664E-4,4.6442664E-4,0.0010605688785155476,0,0.0,0,0.0024024242519180964
n253,医薬品,,医薬品,36,2,19.0,6.0,0.28868258178603007,0.3047217968351205,0.002605103125324639,0.006667555,0.006667555,8.930162676993897E-4,0,0.0,0,0.016376795199828122
n254,十分,,十分,40,2,14.0,6.0,0.31454720616570325,0.33757018887187473,0.0020404620419615747,0.01582573,0.01582573,7.386904876883621E-4,0,0.0,0,0.039148270130502504
n255,南場,,南場,32,1,15.0,7.0,0.27657772130453195,0.29679865820754014,0.0,0.005029681,0.005029681,4.6123574067103085E-4,0,0.0,0,0.014561169974932881
n256,単語,,単語,15,1,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,11,0.0,0,5.351872668406739E-4
n257,原因,,原因,17,4,32.0,6.0,0.2809810671256454,0.29647779479326214,0.005151372176423588,0.004629767,0.004629767,0.0016587967844964994,0,0.0,0,0.012688017612165788
n258,原著,,原著,16,1,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,12,0.0,0,5.351872668406739E-4
n259,参照,,参照,36,6,65.0,6.0,0.355858310626703,0.383716181725372,0.0030914285869391225,0.042647865,0.042647865,0.0015280503491103383,0,0.26666666666666666,4,0.10426743771619072
n260,参考,,参考,41,2,16.0,6.0,0.3340153452685422,0.35745278203165043,0.0,0.025129164,0.025129164,5.782117844005926E-4,0,1.0,1,0.06129343423037998
n261,収益,,収益,9,2,16.0,7.0,0.271630615640599,0.28798220666520796,0.002605103125324639,0.0030516472,0.0030516472,9.438447127373644E-4,0,0.0,0,0.009584392942484924
n262,取締役,,取締役,37,2,13.0,7.0,0.25,0.26315175381025274,3.014694239366644E-5,0.0017291404,0.0017291404,7.459067508988866E-4,0,0.0,0,0.005180333846288392
n263,取締役会,,取締役会,37,2,14.0,8.0,0.22135593220338984,0.22970356595930824,0.002605103125324639,2.5943466E-4,2.5943466E-4,0.0010986061191211728,0,0.0,0,0.0016791463099269134
n264,受託,,受託,37,2,15.0,7.0,0.27977720651242505,0.29639028658936806,0.002605103125324639,0.0069350526,0.0069350526,8.738832906853592E-4,0,0.0,0,0.016196388139646477
n265,可否,,可否,17,2,24.0,7.0,0.27610993657505284,0.2896521548895212,0.0,0.0068703433,0.0068703433,5.636516550927037E-4,0,1.0,1,0.016238157943803375
n266,可能,,可能,40,4,46.0,6.0,0.35547087642896025,0.3823124042879038,0.0012709394653772064,0.03708736,0.03708736,0.0010554854362229227,0,0.3333333333333333,2,0.09159755336229153
n267,可能性,,可能性,17,13,197.0,6.0,0.36177285318559554,0.3923685553854026,0.005914673680191482,0.050102517,0.050102517,0.0028047894142293923,0,0.30303030303030304,20,0.1296863280126303
n268,各月,,各月,8,1,10.0,8.0,0.17605823672148826,0.18134434478232472,0.0,1.2382683E-5,1.2382683E-5,5.558300408015412E-4,0,0.0,0,7.233960347460536E-4
n269,合計,,合計,9,3,29.0,7.0,0.2766949152542373,0.2915663968497049,0.002616423869989905,0.00494968,0.00494968,0.0011071836691909464,0,0.0,0,0.012755236144729929
n270,同一性保持権,,同一性保持権,17,1,7.0,7.0,0.24800607671857197,0.26099321811419773,0.0,0.0015533064,0.0015533064,4.341641951859888E-4,0,0.0,0,0.004525230367753893
n271,同日,,同日,37,2,12.0,7.0,0.27379454926624736,0.28812076132137393,2.3367499050329217E-5,0.004601695,0.004601695,5.932500632049759E-4,0,0.0,0,0.01140501515394671
